timestamp,open,high,low,close,volume,vwap,transactions
1970-01-01 13:49:59.092,185.2709,184.41,185.01,186.1,184.41,1687233600000,577495
1970-01-01 13:45:15.697,184.0809,184.9,183.96,185.41,182.5901,1687320000000,520855
1970-01-01 14:14:05.327,186.1166,183.74,187.0,187.045,183.67,1687406400000,563076
1970-01-01 14:45:12.346,186.4952,185.55,186.68,187.56,185.01,1687492800000,539704
1970-01-01 13:21:28.661,186.3292,186.83,185.27,188.05,185.23,1687752000000,584497
1970-01-01 14:05:30.846,187.4998,185.89,188.06,188.39,185.67,1687838400000,511866
1970-01-01 14:13:36.801,188.8916,187.93,189.25,189.9,187.6,1687924800000,559145
1970-01-01 12:52:27.308,189.5561,189.08,189.59,190.07,188.94,1688011200000,525367
1970-01-01 23:37:48.452,193.102,191.63,193.97,194.48,191.26,1688097600000,774380
1970-01-01 08:44:18.198,192.6624,193.78,192.46,193.88,191.76,1688356800000,500175
1970-01-01 13:01:36.861,191.5803,191.565,191.33,192.98,190.62,1688529600000,560170
1970-01-01 12:32:35.523,190.8214,189.84,191.81,192.02,189.2,1688616000000,562755
1970-01-01 12:59:17.498,191.4218,191.41,190.68,192.67,190.24,1688702400000,538826
1970-01-01 16:38:32.163,188.3628,189.26,188.61,189.99,187.035,1688961600000,736912
1970-01-01 12:57:18.119,187.8219,189.16,188.08,189.3,186.6,1689048000000,577717
1970-01-01 16:52:30.218,189.9586,189.68,189.77,191.7,188.47,1689134400000,652126
1970-01-01 11:28:57.338,190.565,190.5,190.54,191.19,189.78,1689220800000,467952
1970-01-01 11:33:36.242,190.4662,190.23,190.69,191.1799,189.63,1689307200000,513233
1970-01-01 14:02:00.159,193.2997,191.9,193.99,194.32,191.81,1689566400000,602852
1970-01-01 13:22:33.774,193.3846,193.35,193.73,194.33,192.415,1689652800000,544605
1970-01-01 22:21:32.323,194.9188,193.1,195.1,198.23,192.65,1689739200000,776766
1970-01-01 16:33:01.196,194.276,195.09,193.13,196.47,192.495,1689825600000,639817
1970-01-01 19:50:51.683,192.5948,194.1,191.94,194.97,191.23,1689912000000,580360
1970-01-01 12:35:45.097,193.2018,193.41,192.75,194.91,192.25,1690171200000,525853
1970-01-01 10:21:23.201,193.804,193.33,193.62,194.44,192.915,1690257600000,445394
1970-01-01 13:11:11.868,194.3737,193.67,194.5,195.64,193.32,1690344000000,502309
1970-01-01 13:10:39.680,194.8773,196.02,193.22,197.2,192.55,1690430400000,570472
1970-01-01 13:14:51.443,195.8075,194.67,195.83,196.626,194.14,1690516800000,519151
