timestamp,open,high,low,close,volume,vwap,transactions
2023-06-20 04:00:00,184.41,185.01,185.2709,186.1,577495,184.41,1970.0
2023-06-21 04:00:00,182.5901,183.96,184.0809,185.41,520855,184.9,1970.0
2023-06-22 04:00:00,183.67,187.0,186.1166,187.045,563076,183.74,1970.0
2023-06-23 04:00:00,185.01,186.68,186.4952,187.56,539704,185.55,1970.0
2023-06-26 04:00:00,185.23,185.27,186.3292,188.05,584497,186.83,1970.0
2023-06-27 04:00:00,185.67,188.06,187.4998,188.39,511866,185.89,1970.0
2023-06-28 04:00:00,187.6,189.25,188.8916,189.9,559145,187.93,1970.0
2023-06-29 04:00:00,188.94,189.59,189.5561,190.07,525367,189.08,1970.0
2023-06-30 04:00:00,191.26,193.97,193.102,194.48,774380,191.63,1970.0
2023-07-03 04:00:00,191.76,192.46,192.6624,193.88,500175,193.78,1970.0
2023-07-05 04:00:00,190.62,191.33,191.5803,192.98,560170,191.565,1970.0
2023-07-06 04:00:00,189.2,191.81,190.8214,192.02,562755,189.84,1970.0
2023-07-07 04:00:00,190.24,190.68,191.4218,192.67,538826,191.41,1970.0
2023-07-10 04:00:00,187.035,188.61,188.3628,189.99,736912,189.26,1970.0
2023-07-11 04:00:00,186.6,188.08,187.8219,189.3,577717,189.16,1970.0
2023-07-12 04:00:00,188.47,189.77,189.9586,191.7,652126,189.68,1970.0
2023-07-13 04:00:00,189.78,190.54,190.565,191.19,467952,190.5,1970.0
2023-07-14 04:00:00,189.63,190.69,190.4662,191.1799,513233,190.23,1970.0
2023-07-17 04:00:00,191.81,193.99,193.2997,194.32,602852,191.9,1970.0
2023-07-18 04:00:00,192.415,193.73,193.3846,194.33,544605,193.35,1970.0
2023-07-19 04:00:00,192.65,195.1,194.9188,198.23,776766,193.1,1970.0
2023-07-20 04:00:00,192.495,193.13,194.276,196.47,639817,195.09,1970.0
2023-07-21 04:00:00,191.23,191.94,192.5948,194.97,580360,194.1,1970.0
2023-07-24 04:00:00,192.25,192.75,193.2018,194.91,525853,193.41,1970.0
2023-07-25 04:00:00,192.915,193.62,193.804,194.44,445394,193.33,1970.0
2023-07-26 04:00:00,193.32,194.5,194.3737,195.64,502309,193.67,1970.0
2023-07-27 04:00:00,192.55,193.22,194.8773,197.2,570472,196.02,1970.0
2023-07-28 04:00:00,194.14,195.83,195.8075,196.626,519151,194.67,1970.0
2023-07-31 04:00:00,195.26,196.45,196.1507,196.49,530506,196.06,1970.0
2023-08-01 04:00:00,195.28,195.605,195.8486,196.73,477616,196.235,1970.0
2023-08-02 04:00:00,191.8507,192.58,192.9395,195.18,620582,195.04,1970.0
2023-08-03 04:00:00,190.69,191.17,191.1312,192.37,754703,191.57,1970.0
2023-08-04 04:00:00,181.92,181.99,184.279,187.38,1336765,185.52,1970.0
2023-08-07 04:00:00,177.35,178.85,179.0119,183.13,1159281,182.13,1970.0
2023-08-08 04:00:00,177.58,179.8,178.9854,180.27,709019,179.69,1970.0
2023-08-09 04:00:00,177.01,178.19,178.4887,180.93,666112,180.87,1970.0
2023-08-10 04:00:00,177.6,177.97,178.7951,180.75,652995,179.48,1970.0
2023-08-11 04:00:00,176.55,177.79,177.8056,178.62,586481,177.32,1970.0
2023-08-14 04:00:00,177.305,179.46,178.9475,179.69,564982,177.97,1970.0
2023-08-15 04:00:00,177.05,177.45,177.9886,179.48,510071,178.88,1970.0
2023-08-16 04:00:00,176.5,176.57,177.4133,178.54,526074,177.13,1970.0
2023-08-17 04:00:00,173.48,174.0,174.5857,177.5054,673083,177.14,1970.0
2023-08-18 04:00:00,171.96,174.49,173.8904,175.1,596474,172.3,1970.0
2023-08-21 04:00:00,173.735,175.84,175.2221,176.13,559658,175.07,1970.0
2023-08-22 04:00:00,176.25,177.23,177.0098,177.68,501508,177.06,1970.0
2023-08-23 04:00:00,178.325,181.12,180.6482,181.55,587165,178.52,1970.0
2023-08-24 04:00:00,176.01,176.38,177.7035,181.104,610377,180.674,1970.0
2023-08-25 04:00:00,175.82,178.61,177.9075,179.15,554789,177.38,1970.0
2023-08-28 04:00:00,178.545,180.19,179.6595,180.59,532485,180.09,1970.0
2023-08-29 04:00:00,179.5,184.12,183.28,184.9,576465,179.695,1970.0
2023-08-30 04:00:00,184.74,187.65,186.93,187.85,636448,184.94,1970.0
2023-08-31 04:00:00,187.48,187.87,188.1489,189.12,554869,187.84,1970.0
2023-09-01 04:00:00,188.28,189.46,189.0424,189.92,530273,189.485,1970.0
2023-09-05 04:00:00,187.61,189.7,189.1084,189.98,602458,188.28,1970.0
2023-09-06 04:00:00,181.47,182.91,183.786,188.85,880106,188.4,1970.0
2023-09-07 04:00:00,173.54,177.56,176.7332,178.21,1210080,175.18,1970.0
2023-09-08 04:00:00,177.79,178.18,179.0663,180.239,755389,178.35,1970.0
2023-09-11 04:00:00,177.34,179.36,178.8465,180.3,722430,180.07,1970.0
2023-09-12 04:00:00,174.82,176.3,176.7048,180.13,937419,179.49,1970.0
2023-09-13 04:00:00,173.98,174.21,175.0352,177.3,835150,176.51,1970.0
2023-09-14 04:00:00,173.58,175.74,175.3715,176.1,641017,174.0,1970.0
2023-09-15 04:00:00,173.82,175.01,175.0843,176.495,729794,176.48,1970.0
2023-09-18 04:00:00,176.17,177.97,177.8915,179.38,731278,176.48,1970.0
2023-09-19 04:00:00,177.13,179.07,178.4293,179.63,524402,177.52,1970.0
2023-09-20 04:00:00,175.4,175.49,176.9653,179.695,600225,179.26,1970.0
2023-09-21 04:00:00,173.86,173.93,174.8619,176.3,631478,174.55,1970.0
2023-09-22 04:00:00,174.05,174.79,175.4667,177.079,606168,174.67,1970.0
2023-09-25 04:00:00,174.15,176.08,175.6665,176.97,564218,174.2,1970.0
2023-09-26 04:00:00,171.66,171.96,172.7156,175.2,688340,174.82,1970.0
2023-09-27 04:00:00,169.05,170.43,170.5335,173.04,707850,172.62,1970.0
2023-09-28 04:00:00,167.62,170.69,170.297,172.03,618584,169.34,1970.0
2023-09-29 04:00:00,170.341,171.21,171.5997,173.07,535134,172.02,1970.0
2023-10-02 04:00:00,170.93,173.75,173.2879,174.3,617249,171.22,1970.0
2023-10-03 04:00:00,170.82,172.4,172.1342,173.63,542569,172.255,1970.0
2023-10-04 04:00:00,170.97,173.66,172.9437,174.21,560975,171.09,1970.0
2023-10-05 04:00:00,172.68,174.91,174.2297,175.45,509175,173.79,1970.0
2023-10-06 04:00:00,173.18,177.49,176.3366,177.99,593944,173.8,1970.0
2023-10-09 04:00:00,175.8,178.99,177.8683,179.05,518256,176.81,1970.0
